Realization,utility,infra.,period,UniqueCount
Path 33 {6},3,20,35's - 39's,37
Path 33 {7},3,20,25's - 29's,100
Path 33 {10},3,20,15's - 19's,148
Path 33 {20},3,9,35's - 39's,44
Path 33 {35},3,9,40's - 44's,17
Path 33 {40},3,9,25's - 29's,76
Path 33 {40},3,12,30's - 34's,61
Path 33 {53},3,12,45's - 49's,3
Path 33 {79},3,20,40's - 44's,30
Path 33 {136},3,9,20's - 24's,3
Path 33 {136},3,12,25's - 29's,3
Path 33 {155},3,12,40's - 44's,9
Path 33 {283},3,20,45's - 49's,4
Path 34 {0},3,20,20's - 24's,86
Path 34 {3},3,9,30's - 34's,105
Path 34 {4},3,9,25's - 29's,124
Path 34 {4},3,12,40's - 44's,24
Path 34 {6},3,9,35's - 39's,34
Path 34 {8},3,9,20's - 24's,33
Path 34 {8},3,20,25's - 29's,5
Path 34 {10},3,20,15's - 19's,142
Path 34 {20},3,20,35's - 39's,25
Path 34 {28},3,20,30's - 34's,35
Path 34 {41},3,20,40's - 44's,19
Path 34 {57},3,12,30's - 34's,34
Path 34 {59},3,9,45's - 49's,8
Path 34 {80},3,9,40's - 44's,40
Path 34 {106},3,12,45's - 49's,4
Path 34 {206},3,12,25's - 29's,3
Path 34 {243},3,12,35's - 39's,10
Path 34 {523},3,20,45's - 49's,1
Path 35 {0},3,20,15's - 19's,60
Path 35 {3},3,20,35's - 39's,47
Path 35 {4},3,20,20's - 24's,104
Path 35 {4},3,9,35's - 39's,31
Path 35 {4},3,12,40's - 44's,12
Path 35 {6},3,20,45's - 49's,4
Path 35 {7},3,20,30's - 34's,46
Path 35 {8},3,20,25's - 29's,70
Path 35 {18},3,20,40's - 44's,35
Path 35 {53},3,9,40's - 44's,20
Path 35 {57},3,9,30's - 34's,38
Path 35 {87},3,12,45's - 49's,7
Path 35 {136},3,9,25's - 29's,4
Path 35 {136},3,12,30's - 34's,6
Path 35 {175},3,9,45's - 49's,8
Path 35 {196},3,12,35's - 39's,6
Path 36 {1},3,20,20's - 24's,102
Path 36 {3},3,20,30's - 34's,83
Path 36 {4},3,9,25's - 29's,76
Path 36 {4},3,12,35's - 39's,19
Path 36 {5},3,20,15's - 19's,200
Path 36 {6},3,20,35's - 39's,38
Path 36 {7},3,20,25's - 29's,63
Path 36 {10},3,9,45's - 49's,15
Path 36 {20},3,9,40's - 44's,24
Path 36 {28},3,9,30's - 34's,44
Path 36 {40},3,12,40's - 44's,23
Path 36 {57},3,12,30's - 34's,42
Path 36 {59},3,9,35's - 39's,20
Path 36 {65},3,20,40's - 44's,23
Path 36 {196},3,9,20's - 24's,20
Path 36 {196},3,12,25's - 29's,3
Path 36 {502},3,20,45's - 49's,2
Path 36 {631},3,12,45's - 49's,1
Path 37 {0},3,20,15's - 19's,177
Path 37 {4},3,20,20's - 24's,102
Path 37 {4},3,9,30's - 34's,58
Path 37 {4},3,12,35's - 39's,15
Path 37 {6},3,20,40's - 44's,24
Path 37 {7},3,20,30's - 34's,82
Path 37 {16},3,20,25's - 29's,55
Path 37 {26},3,20,35's - 39's,32
Path 37 {40},3,9,25's - 29's,59
Path 37 {40},3,12,40's - 44's,18
Path 37 {41},3,9,40's - 44's,21
Path 37 {53},3,9,35's - 39's,19
Path 37 {57},3,12,30's - 34's,44
Path 37 {99},3,20,45's - 49's,4
Path 37 {196},3,9,20's - 24's,7
Path 37 {196},3,12,25's - 29's,5
Path 37 {207},3,9,45's - 49's,10
Path 37 {490},3,12,45's - 49's,2
Path 38 {0},3,20,20's - 24's,120
Path 38 {3},3,20,35's - 39's,34
Path 38 {4},3,9,30's - 34's,70
Path 38 {4},3,12,35's - 39's,22
Path 38 {6},3,20,40's - 44's,23
Path 38 {7},3,20,30's - 34's,83
Path 38 {8},3,20,25's - 29's,83
Path 38 {10},3,20,15's - 19's,99
Path 38 {28},3,9,35's - 39's,19
Path 38 {40},3,12,40's - 44's,16
Path 38 {53},3,12,45's - 49's,3
Path 38 {62},3,9,40's - 44's,16
Path 38 {136},3,9,25's - 29's,37
Path 38 {136},3,12,30's - 34's,18
Path 38 {333},3,9,45's - 49's,8
Path 38 {382},3,20,45's - 49's,8
Path 39 {3},3,20,30's - 34's,77
Path 39 {4},3,20,20's - 24's,97
Path 39 {4},3,9,25's - 29's,78
Path 39 {4},3,12,30's - 34's,43
Path 39 {5},3,20,15's - 19's,222
Path 39 {6},3,20,35's - 39's,39
Path 39 {7},3,20,25's - 29's,71
Path 39 {10},3,9,45's - 49's,16
Path 39 {20},3,9,40's - 44's,27
Path 39 {28},3,9,30's - 34's,44
Path 39 {40},3,12,35's - 39's,23
Path 39 {53},3,12,45's - 49's,5
Path 39 {59},3,9,35's - 39's,22
Path 39 {65},3,20,40's - 44's,14
Path 39 {87},3,9,20's - 24's,24
Path 39 {138},3,12,40's - 44's,5
Path 39 {196},3,12,25's - 29's,5
Path 39 {582},3,20,45's - 49's,2
Path 40 {0},3,20,10's - 14's,100
Path 40 {0},3,9,25's - 29's,181
Path 40 {0},3,12,30's - 34's,170
Path 40 {2},3,20,15's - 19's,373
Path 40 {3},3,20,25's - 29's,86
Path 40 {3},3,9,35's - 39's,89
Path 40 {3},3,12,40's - 44's,82
Path 40 {5},3,9,40's - 44's,88
Path 40 {7},3,20,20's - 24's,138
Path 40 {7},3,9,30's - 34's,114
Path 40 {10},3,12,35's - 39's,94
Path 40 {12},3,20,35's - 39's,63
Path 40 {13},3,20,30's - 34's,63
Path 40 {25},3,20,40's - 44's,39
Path 40 {40},3,9,20's - 24's,80
Path 40 {40},3,12,25's - 29's,68
Path 40 {119},3,12,45's - 49's,29
Path 40 {319},3,20,45's - 49's,4
Path 41 {0},3,20,15's - 19's,243
Path 41 {3},3,20,30's - 34's,65
Path 41 {4},3,20,20's - 24's,71
Path 41 {4},3,9,25's - 29's,67
Path 41 {4},3,12,35's - 39's,12
Path 41 {6},3,20,35's - 39's,26
Path 41 {7},3,20,25's - 29's,79
Path 41 {10},3,9,45's - 49's,15
Path 41 {20},3,9,40's - 44's,29
Path 41 {28},3,9,30's - 34's,51
Path 41 {40},3,12,40's - 44's,20
Path 41 {57},3,12,30's - 34's,37
Path 41 {62},3,9,35's - 39's,11
Path 41 {79},3,20,45's - 49's,8
Path 41 {84},3,20,40's - 44's,22
Path 41 {122},3,12,45's - 49's,7
Path 41 {196},3,9,20's - 24's,18
Path 41 {196},3,12,25's - 29's,12
Path 42 {0},3,20,15's - 19's,130
Path 42 {0},3,9,45's - 49's,16
Path 42 {3},3,20,30's - 34's,76
Path 42 {4},3,20,20's - 24's,111
Path 42 {4},3,9,30's - 34's,75
Path 42 {4},3,12,35's - 39's,15
Path 42 {6},3,20,40's - 44's,36
Path 42 {7},3,20,25's - 29's,104
Path 42 {28},3,9,35's - 39's,19
Path 42 {53},3,12,40's - 44's,20
Path 42 {57},3,9,25's - 29's,50
Path 42 {57},3,12,45's - 49's,7
Path 42 {79},3,20,45's - 49's,12
Path 42 {102},3,20,35's - 39's,21
Path 42 {136},3,9,20's - 24's,2
Path 42 {136},3,12,30's - 34's,34
Path 42 {175},3,9,40's - 44's,21
Path 42 {206},3,12,25's - 29's,1
Path 43 {0},3,9,25's - 29's,230
Path 43 {0},3,12,40's - 44's,31
Path 43 {3},3,9,30's - 34's,157
Path 43 {3},3,20,35's - 39's,32
Path 43 {4},3,20,20's - 24's,71
Path 43 {4},3,12,30's - 34's,105
Path 43 {5},3,20,15's - 19's,242
Path 43 {7},3,20,30's - 34's,64
Path 43 {10},3,9,35's - 39's,80
Path 43 {18},3,20,10's - 14's,19
Path 43 {21},3,9,45's - 49's,7
Path 43 {29},3,20,45's - 49's,10
Path 43 {33},3,20,40's - 44's,24
Path 43 {34},3,9,20's - 24's,92
Path 43 {34},3,20,25's - 29's,24
Path 43 {34},3,12,45's - 49's,6
Path 43 {49},3,12,35's - 39's,52
Path 43 {74},3,9,40's - 44's,61
Path 43 {138},3,12,25's - 29's,15
Path 44 {0},3,20,10's - 14's,48
Path 44 {0},3,9,20's - 24's,124
Path 44 {0},3,12,35's - 39's,31
Path 44 {2},3,20,15's - 19's,330
Path 44 {3},3,9,25's - 29's,262
Path 44 {3},3,20,30's - 34's,47
Path 44 {3},3,12,40's - 44's,45
Path 44 {4},3,12,25's - 29's,49
Path 44 {6},3,9,35's - 39's,88
Path 44 {7},3,20,25's - 29's,16
Path 44 {8},3,20,20's - 24's,97
