O_REL,O_RF,O_NPC,O_PFC,O_WCC,O_UC,D_REL,D_RF,D_NPC,D_PFC,D_WCC,D_UC,Ch_REL,Ch_RF,Ch_NPC,Ch_PFC,Ch_WCC,CH_UC,P_REL,P_RF,P_NPC,P_PFC,P_WCC,P_UC
1,0,32.615054,0.247168,0,54.726485,0.992,0.001822,104.111943,0.104403,0,199.04022,1,0.026044,44.557608,0.811036,0,101.211457,1,0.043844,54.420409,0.658288,0.114185,59.668333
0.996,0.006267,1.67555,0.021552,0,1.647384,0.986,0.000489,141.792276,0.17176,0,1.442276,1,0.032244,29.374323,0.508815,0,47.398824,0.999,0.032711,56.910151,0.742388,0.089563,44.814055
0.996,0.01,2.256143,0.037867,0,0.042065,0.989,0.013489,66.00327,0.104513,0,0.384018,1,0.143156,57.777764,1.070425,0,12.185436,0.994,0.0308,117.847531,0.950655,0.24886,174.625496
1,0,33.08547,0.219259,0.117284,0.903432,0.98,0.0046,89.961759,0.108021,0,0.681375,1,0.031089,78.318585,1.226407,0.046853,47.008031,1,0.059933,52.904316,0.594921,0.073945,2.689379
1,0,13.519714,0.063251,0,0.331359,0.981,0.000733,72.666012,0.130597,0,0.49195,1,0,70.212958,1.113027,0.085545,13.803913,1,0,72.04457,0.586152,0.356171,15.945445
1,0,31.469029,0.168579,0,134.723431,0.98,0.0008,73.821622,0.120873,0,352.752698,1,0,69.805224,1.286537,0,322.069631,1,0,65.377696,0.894009,0.073063,318.05743
1,0,84.034293,0.392517,0,41.874537,0.987,0,129.722793,0.142431,0,195.879741,1,0,14.766904,0.232304,0,13.570459,1,0,22.329312,0.261674,0.052137,1.513937
1,0,60.31295,0.324496,0,144.910598,0.986,0.0004,131.255461,0.222491,0,234.018426,1,0.025689,18.796947,0.38955,0,37.54667,1,0.031733,30.266461,0.401402,0.034143,15.029243
1,0,44.779501,0.226096,0,1.33299,0.984,0,136.187141,0.143328,0,1.136377,1,0.056844,32.223418,0.578303,0,50.068192,1,0.0322,41.47947,0.489168,0.017448,38.273137
1,0,33.391806,0.190622,0,0.980984,0.986,0.000067,146.623389,0.181088,0,1.23895,1,0.047978,14.381753,0.294698,0,16.573871,1,0.032022,39.18402,0.380245,0.142755,3.702512
1,0,89.075219,0.441234,0,2.480244,0.985,0,124.086322,0.159708,0,0.959048,1,0.046222,22.591907,0.473856,0,11.825486,1,0.054356,42.527846,0.468585,0.217317,2.14919
1,0,76.088949,0.442131,0,2.297842,0.986,0.000067,72.354308,0.102192,0,14.424208,1,0.0528,25.601627,0.477189,0,6.280337,0.999,0.065933,75.218695,0.918838,0.374301,3.753491
1,0,33.833783,0.211459,0,0.795075,0.981,0.000311,73.753525,0.09136,0.084791,0.478296,1,0.136578,52.493678,0.795597,0.123852,9.317313,1,0.1038,68.880513,0.596024,0.25279,7.767813
1,0,46.747267,0.231134,0,1.219407,0.993,0.008911,155.294017,0.200457,0.114487,1.111,1,0,17.754045,0.364392,0,3.473613,1,0,20.274896,0.233272,0.081785,0.578716
1,0,51.738705,0.232431,0.064587,1.535092,0.992,0.000689,119.6513,0.151615,0,84.877263,1,0.058356,21.435355,0.353811,0.078536,12.258388,1,0.030556,42.422548,0.374441,0.187946,96.91442
1,0,43.138116,0.258644,0,55.757241,0.986,0.0018,126.473414,0.129783,0,21.481912,1,0.0424,44.70465,0.794221,0,108.031695,1,0.029022,64.523106,0.735012,0.012525,62.976412
0.999,0.008,24.344207,0.107545,0.149506,0.427059,0.977,0.197622,75.020358,0.061509,0.350316,0.358308,1,0.290556,24.605273,0.400168,0.501301,3.706272,1,0.095756,78.110068,0.533602,1.029351,130.328947
1,0,58.495159,0.33641,0,1.452174,0.993,0.002778,81.82966,0.157629,0,6.428512,1,0.096644,27.767903,0.531092,0,7.929236,1,0.045067,67.946717,0.702969,0.111711,14.79647
1,0,39.992731,0.251057,0,75.520403,0.985,0.000089,108.532677,0.151853,0,202.600159,1,0.036622,36.66079,0.683724,0,60.210622,1,0.022778,76.676926,0.904145,0,313.450568
1,0,19.368677,0.140107,0,0.471616,0.993,0.041778,95.989805,0.089126,0.117737,0.647819,1,0.114844,78.14218,1.143235,0.102472,13.986706,1,0.087267,46.831029,0.419013,0.219571,7.446742
1,0,65.047717,0.395155,0,2.029342,0.984,0.000022,159.038382,0.173978,0.033013,32.817836,1,0,9.381191,0.134093,0.073559,2.343289,1,0,25.813118,0.313736,0.048423,2.887784
1,0,46.271702,0.278598,0,1.461086,0.983,0.001244,144.635309,0.180938,0,21.237314,1,0,12.347601,0.2756,0,27.993239,1,0,40.958117,0.46749,0,222.524849
0.997,0,11.26479,0.14603,0,0.198469,0.989,0,105.465373,0.108225,0,0.528275,1,0,133.970557,2.115306,0,38.579211,1,0,39.153574,0.551774,0.011336,46.52089
0.999,0,48.098602,0.292919,0,0.790038,0.979,0.000933,119.90114,0.128189,0.012608,0.550275,1,0,126.239941,2.092581,0,70.89257,0.995,0,52.608722,0.523865,0.012126,26.07557
0.999,0,36.05285,0.161349,0,0.801032,0.993,0.014022,189.360922,0.235515,0.008137,1.148822,1,0,22.40484,0.389528,0,6.939114,0.999,0,31.266715,0.38643,0.02832,1.392636
0.993,0,12.382873,0.040083,0.259963,0.070029,0.897,0,35.388782,0.02175,0.387656,0.050889,1,0,37.683151,0.654275,0.072069,2.135764,1,0,61.025253,0.495809,0.018872,10.082339
